skill;course_name;link;platform
api debugging;WebServices/Rest API Testing with SoapUI +Real time Projects;https://www.udemy.com/course/webservices-testing-with-soap-ui/?utm_campaign=BG-Search_Keyword_Beta_Prof_la.EN_cc.ROW-English&utm_source=bing&utm_medium=paid-search&portfolio=Bing-ROW-English&utm_audience=mx&utm_tactic=nb&utm_term=REST+API+Tutorial&utm_content=o&funnel=&test=&msclkid=c7898c5c90e612196346e51e2021da2f&couponCode=CM251217G2;Udemy
forms and reports;Oracle Forms and Reports 12c;https://www.udemy.com/course/oracle-forms-and-reports-12c/?couponCode=CM251217G2;Udemy
api integration;API Crash Course: How to Create, Test, & Document your APIs;https://www.udemy.com/course/api-course/?utm_campaign=BG-Search_DSA_Beta_Prof_la.EN_cc.ROW-English&utm_source=bing&utm_medium=paid-search&portfolio=Bing-ROW-English&utm_audience=mx&utm_tactic=nb&utm_term=Dev+en&utm_content=o&funnel=&test=&msclkid=f11849754f0215b86e552037fd2d2822&couponCode=CM251217G2;Udemy
pl/sql;"The Complete PL/SQL Bootcamp : ""Beginner to Advanced PL/SQL""";https://www.udemy.com/course/plsql-beginner-to-advanced-become-a-perfect-plsql-developer/?couponCode=CM251217G2;Udemy
vulnerability scanning;Cyber Security: Vulnerability Management;https://www.udemy.com/course/cyber-security-vulnerability-management/?utm_campaign=BG-Search_DSA_Beta_Prof_la.EN_cc.ROW-English&utm_source=bing&utm_medium=paid-search&portfolio=Bing-ROW-English&utm_audience=mx&utm_tactic=nb&utm_term=IT+en&utm_content=o&funnel=&test=&msclkid=4f990c76b63e1ea9d7fc653405a0fe57&couponCode=CM251217G2;Udemy
ui/ux basics;Introduction to UX/UI Design;https://www.coursera.org/learn/introduction-to-uxui-design;Coursera
team leadership;Leading Teams;https://www.coursera.org/learn/leading-teams;Coursera
fastapi;FastAPI - The Complete Course 2026 (Beginner + Advanced);https://www.udemy.com/course/fastapi-the-complete-course/?couponCode=CM251217G2;Udemy
fiori;SAP FIORI - Configuring Fiori Environment and Security;https://www.udemy.com/course/sap-fiori-setup-and-security/;Udemy
responsive design;Responsive Web Design;https://www.udemy.com/course/design-and-develop-a-killer-website-with-html5-and-css3/?utm_campaign=Search_DSA_Beta_Prof_la.EN_cc.ROW-English_Subs&utm_source=google&utm_medium=paid-search&portfolio=ROW-English&utm_audience=mx&utm_tactic=nb&utm_term=_._ag_185568238764_._ad_769543047741_._kw_&utm_content=g&funnel=&test=&gad_source=1&gad_campaignid=22894903173&gbraid=0AAAAADROdO0I1a-xs-CK9E95MbX5k6PAb&gclid=CjwKCAjwx7LSBhB3EiwAjcodxLLo6mglq5_RvXuPsYyaAkZvgb9qJDsK9lqcddI2iCsC8CvnPBab0hoCQX0QAvD_BwE&couponCode=KEEPLEARNING;Coursera
